denominazione,nat.giuridica,codice fiscale,pv,comune,data iscrizione alla sezione degli incubatori,data iscrizione al Registro Imprese,data inizio dell'esercizio effettivo dell'attività,ateco 2007,settore,attività,classe di produzione ultimo anno (1),classe di addetti ultimo anno (2),classe di capitale (3),sito internet,Categoria
THE NET VALUE S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,3219010927,CA,CAGLIARI,14/10/2013,14/01/2009,20/01/2009,639100,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,C,A,5,https://www.thenetvalue.com/,Regionale
FARE IMPRESA S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,3694580618,CE,CASERTA,20/06/2023,05/04/2011,23/05/2023,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,B,A,4,https://www.fare-impresa.it/,Multisettoriale
012FACTORY ,SOCIETA' PER AZIONI,4019110610,CE,CASERTA,10/12/2018,28/11/2014,20/11/2014,731102,SERVIZI,M 73 PUBBLICITA' E RICERCHE DI MERCATO,D,A,9,http://www.012factory.it,Trasferimento tecnologico
SVILUPPO COMO - COMONEXT S.P.A.,SOCIETA' PER AZIONI,2984260139,CO,COMO,01/02/2017,10/07/2006,28/06/2006,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,E,D,11,www.comonext.it,Multisettoriale
ENTOPAN INNOVATION S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,3592990794,CZ,CARAFFA DI CATANZARO,09/03/2021,20/10/2017,20/10/2017,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,E,B,11,https://entopaninnovation.it/,Sostenibilità
ENRY'S ISLAND S.P.A. ,SOCIETA' PER AZIONI,2171970680,FG,ISOLE TREMITI,02/10/2023,10/02/2022,15/11/2016,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,D,A,6,www.enrysisland.com,Verticale tematico / settoriale
SERVIZI INTEGRATI D'AREA - SER.IN.AR.,SOCIETA' CONSORTILE PER AZIONI,1940960402,FC,FORLI',03/02/2021,19/02/1996,02/06/1988,73300,SERVIZI,M 73 PUBBLICITA' E RICERCHE DI MERCATO,E,C,9,www.cesenalab.it,Regionale
FI.L.S.E. S.P.A.,SOCIETA' PER AZIONI,616030102,GE,GENOVA,09/02/2024,19/02/1996,25/07/1975,829999,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,G,E,11,https://www.filse.it/it/,Regionale
TIGULLIO DIGITAL ,SOCIETA' A RESPONSABILITA' LIMITATA,2343220998,GE,CHIAVARI,28/04/2017,13/07/2015,23/07/2015,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,D,B,4,www.wylab.net,Verticale tematico / settoriale
PRICEWATERHOUSECOOPERS ACCELERATION CENTER ITALY ,SOCIETA' A RESPONSABILITA' LIMITATA,2533530990,GE,GENOVA,25/02/2022,17/04/2018,03/04/2018,855920,SERVIZI,P 85 ISTRUZIONE,A,A,3,www.digitaltree.ai,Professionisti / consulenza
TQC S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,4929840751,LE,LECCE,28/07/2022,27/03/2018,28/03/2018,855920,SERVIZI,P 85 ISTRUZIONE,B,B,3,www.startup4.school,Regionale
THE WAY S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,2099640431,MC,MACERATA,21/01/2025,01/02/2023,28/03/2023,855920,SERVIZI,P 85 ISTRUZIONE,A,A,3,www.thewaystart.it,Sostenibilità
TECHINNOVA S.P.A.,SOCIETA' PER AZIONI,3015970126,MI,MILANO,03/12/2015,07/01/2021,09/01/2008,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,D,A,7,http://www.techinnova.it,Trasferimento tecnologico
IMPACT HUB S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,6608860968,MI,MILANO,07/08/2014,21/05/2009,16/11/2009,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,D,C,4,milan.impacthub.net,Sostenibilità
ACUBE AVANZI,SOCIETA' A RESPONSABILITA' LIMITATA,7611700969,MI,MILANO,02/11/2015,15/11/2011,15/11/2011,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,D,B,5,https://acube.avanzi.org/,Sostenibilità
POLIHUB S.C.A.R.L. ,SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,8235820969,MI,MILANO,26/03/2014,29/04/2013,15/06/2013,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,F,D,6,https://polihub.it/,Universitario / spin-off accademico
BIO4DREAMS S.P.A.,SOCIETA' PER AZIONI,10046970967,MI,MILANO,28/10/2019,29/09/2017,21/09/2017,721029,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,E,C,8,www.bio4dreams.com,Verticale tematico / settoriale
A-CCELERATOR ITALY S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,10566040969,MI,MILANO,14/02/2025,12/12/2018,24/05/2019,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,E,B,4,https://www.ufficiocamerale.it/7902/a-ccelerator-italy-srl,Multisettoriale
PLUG AND PLAY ITALY S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,10792270968,MI,MILANO,26/06/2024,24/04/2019,09/04/2019,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,E,C,3,https://www.plugandplaytechcenter.com/locations/milan,Professionisti / consulenza
LIFEGATE WAY S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,11699880966,MI,MILANO,13/01/2025,02/04/2021,31/03/2021,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,B,A,4,https://lifegateway.it,Sostenibilità
COMBAIS S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,13428700960,MI,MILANO,12/03/2024,12/03/2024,01/03/2024,629009,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",B,,4,combais.com,Sostenibilità
PEEKABOO - S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,14641271003,MI,MILANO,16/06/2021,22/03/2024,01/03/2024,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,B,A,4,www.peekaboo.vision,Multisettoriale
QWIRKLABS S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,13848550961,MI,MILANO,13/12/2024,13/12/2024,20/11/2024,621000,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",,,3,www.qwirklabs.gg,Verticale tematico / settoriale
GIFFONI INNOVATION HUB S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,7962601212,NA,NAPOLI,24/01/2023,16/01/2015,16/02/2015,903909,SERVIZI,"R 90 ATTIVITA' CREATIVE, ARTISTICHE E DI INTRATTENIMENTO",E,C,4,https://www.giffonihub.com/chi-siamo/,Universitario / spin-off accademico
CAMPANIA NEWSTEEL S.R.L. ,SOCIETA' A RESPONSABILITA' LIMITATA,8499461211,NA,NAPOLI,29/06/2017,14/11/2016,08/05/2017,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,C,A,7,www.campanianewsteel.it,Universitario / spin-off accademico
FABBRICA ITALIANA DELL'INNOVAZIONE S.C. A R.L. ,SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,10219591210,NA,NAPOLI,17/03/2025,07/02/2023,31/01/2023,721029,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,B,A,6,www.fabbricaitalianainnovazione.it,Sostenibilità
INNOVATION HUB SOUTH EUROPE S.R.L. ,SOCIETA' A RESPONSABILITA' LIMITATA,4492750619,NA,NAPOLI,21/07/2022,25/01/2024,29/04/2020,721010,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,B,C,8,www.inhuse.com,Trasferimento tecnologico
PARADIGMA S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,5050110286,PD,PADOVA,18/10/2021,21/03/2017,20/03/2017,622010,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",B,A,5,www.paradigma.city,Regionale
POLO NAVACCHIO S.P.A.,SOCIETA' PER AZIONI,1482520507,PI,CASCINA,04/10/2022,01/04/1999,01/06/2005,829999,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,D,C,11,https://www.polotecnologico.it/,Trasferimento tecnologico
POLO TECNOLOGICO ALTO ADRIATICO ANDREA GALVANI,SOCIETA' CONSORTILE PER AZIONI,1472410933,PN,PORDENONE,17/02/2014,04/07/2002,01/09/2002,721029,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,E,D,9,www.polo.pn.it,Trasferimento tecnologico
BP CUBE S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,2511150415,PU,PESARO,13/04/2018,26/03/2013,07/10/2013,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,B,A,7,www.bpcube.com,Multisettoriale
SEREA S.R.L. ,SOCIETA' A RESPONSABILITA' LIMITATA,1444660763,PZ,POTENZA,24/02/2020,27/10/2000,01/04/2002,63102,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,B,A,7,https://www.serea.com/,Multisettoriale
INNOVA S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,6701860634,RM,ROMA,03/06/2015,21/03/1996,14/01/1997,72,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,E,C,8,www.innova-eu.net,Trasferimento tecnologico
LAZIO INNOVA - S.P.A.,SOCIETA' PER AZIONI,5950941004,RM,ROMA,14/11/2018,03/03/2000,13/09/2000,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,G,F,11,www.lazioinnova.it,Regionale
ZEST S.P.A.,SOCIETA' PER AZIONI,81020000022,RM,ROMA,24/01/2017,07/01/2013,13/01/2010,821000,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,F,D,11,https://zestgroup.vc/it,Venture builder
MARZOTTO VENTURE ACCELERATOR S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,13471681000,RM,ROMA,27/12/2017,22/07/2015,01/10/2015,821000,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,C,A,9,www.marzottoventure.com,Venture builder
PI CAMPUS S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,13929921008,RM,ROMA,08/07/2016,08/07/2016,15/06/2016,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,B,,4,www.picampus.it,Venture builder
SINAPSI S.P.A.,SOCIETA' PER AZIONI,14810991001,RM,ROMA,07/07/2022,31/05/2018,27/06/2018,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,D,B,8,https://www.linkedin.com/company/sinapsi-spa/?originalSubdomain=it,Trasferimento tecnologico
CENTRO STUDI PLURIVERSUM S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,942960527,SI,SIENA,05/05/2023,27/01/1998,30/07/1998,856901,SERVIZI,P 85 ISTRUZIONE,E,D,4,https://www.pluriversum.eu/,Multisettoriale
ABINSULA S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,2465610901,SS,SASSARI,05/05/2020,11/01/2012,01/03/2012,621000,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",F,E,3,https://www.abinsula.com,Trasferimento tecnologico
TRENTINO SVILUPPO S.P.A.,SOCIETA' PER AZIONI,123240228,TN,ROVERETO,27/01/2016,19/02/1996,01/12/1996,829999,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,G,E,11,http://www.trentinosviluppo.it/,Regionale
INCUBATORE DEL POLITECNICO I3P,SOCIETA' CONSORTILE PER AZIONI,7793080016,TO,TORINO,10/07/2013,21/09/1999,16/09/1999,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,E,B,9,www.i3p.it,Universitario / spin-off accademico
2i3T,SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,8701850011,TO,TORINO,28/03/2019,03/10/2003,22/05/2006,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,E,C,4,www.2i3t.it,Universitario / spin-off accademico
SOCIALFARE IMPRESA SOCIALE S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,10959210013,TO,TORINO,07/12/2017,10/06/2013,01/07/2013,732000,SERVIZI,M 73 PUBBLICITA' E RICERCHE DI MERCATO,D,C,9,www.socialfare.org,Sostenibilità
ING VITO ABATE S.R.L. START UP,SOCIETA' A RESPONSABILITA' LIMITATA,6768690825,TP,CASTELVETRANO,12/01/2022,13/01/2022,27/05/2019,72200,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,G,B,6,www.ingvitoabate.com,Multisettoriale
MICH - MAESTRALE INNOVATION CREATIVE HUB S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,1638890556,TR,TERNI,29/01/2021,10/10/2019,06/11/2019,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,C,A,8,https://mich.center/,Sostenibilità
BIC INCUBATORI FVG S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,686200320,TS,TRIESTE,10/06/2015,19/02/1996,01/03/1988,70200,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,D,B,9,www.incubatori.fvg.it,Multisettoriale
H-FARM S.P.A.,SOCIETA' PER AZIONI,3944860265,TV,RONCADE,03/07/2015,31/01/2005,04/02/2005,642100,SERVIZI,K 64 ATTIVITA' DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E,F,D,11,https://www.h-farm.com/it,Venture builder
T2I - TRASFERIMENTO TECNOLOGICO E INNOVAZIONE,SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,4636360267,TV,TREVISO,21/12/2016,02/01/2014,02/01/2014,829999,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,E,D,8,https://www.t2i.it/,Trasferimento tecnologico
FRIULI INNOVAZIONE,SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,94070140309,UD,UDINE,31/07/2013,19/12/2000,01/08/2000,7210,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,E,D,10,www.friulinnovazione.it,Trasferimento tecnologico
VEGA - PARCO SCIENTIFICO ,SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,2718360270,VE,VENEZIA,18/12/2013,19/02/1996,01/07/1996,721029,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,E,B,9,www.vegapark.ve.it,Trasferimento tecnologico
START-UP GYM S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,4311680237,VR,VERONA,15/02/2021,20/01/2015,23/02/2015,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,A,A,3,www.startupgym.it,Verticale tematico / settoriale
